first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,team_code,team_name
Bernd,Leno,0,0,10,360,9,0.0,85.0,0.0,0,69,8.5,1,0,0,0.8,45,GK,3,Arsenal
Rúnar Alex,Rúnarsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,GK,3,Arsenal
Willian,Borges Da Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,63,MID,3,Arsenal
Pierre-Emerick,Aubameyang,4,1,44,1036,16,132.4,217.6,582.0,7,131,92.9,6,0,3,1.2,96,FWD,3,Arsenal
Cédric,Soares,1,1,48,1481,27,306.5,246.0,76.0,3,292,63.0,3,0,3,0.4,42,DEF,3,Arsenal
Alexandre,Lacazette,4,8,90,1773,17,385.7,376.6,724.0,3,295,148.3,10,0,0,3.1,81,FWD,3,Arsenal
Granit,Xhaka,1,2,60,2327,38,489.6,382.2,253.0,3,334,112.6,6,1,10,0.4,48,MID,3,Arsenal
Pablo,Marí,0,0,1,180,4,12.3,55.4,11.0,0,35,7.9,0,0,1,0.1,42,DEF,3,Arsenal
Héctor,Bellerín,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,48,DEF,3,Arsenal
Sead,Kolasinac,0,0,0,91,5,0.2,4.2,0.0,0,6,0.4,0,0,1,0.1,42,DEF,3,Arsenal
Mohamed Naser,El Sayed Elneny,0,2,27,801,17,124.5,147.8,40.0,0,156,31.3,0,0,1,0.4,44,MID,3,Arsenal
Ainsley,Maitland-Niles,0,0,12,263,4,41.3,42.6,9.0,0,44,9.3,2,0,0,0.0,52,MID,3,Arsenal
Rob,Holding,1,0,29,840,16,6.9,242.4,49.0,2,152,29.9,2,1,2,0.8,41,DEF,3,Arsenal
Thomas,Partey,2,2,71,2027,25,275.5,359.6,394.0,4,345,103.0,10,0,6,0.2,50,MID,3,Arsenal
Kieran,Tierney,1,3,106,1916,21,335.9,365.2,198.0,11,454,90.1,11,0,0,4.7,49,DEF,3,Arsenal
Nicolas,Pépé,1,4,45,681,9,204.8,127.4,391.0,1,127,72.0,2,0,0,0.7,69,MID,3,Arsenal
Lucas,Torreira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,3,Arsenal
Edward,Nketiah,5,1,55,823,18,138.8,216.0,339.0,6,194,69.2,0,0,3,11.5,57,FWD,3,Arsenal
Emile,Smith Rowe,10,2,125,1909,28,453.3,555.8,576.0,9,435,158.4,8,0,1,10.0,57,MID,3,Arsenal
Bukayo,Saka,11,9,179,2978,39,942.5,774.2,1404.0,18,566,311.8,13,0,6,28.8,67,MID,3,Arsenal
Gabriel,Magalhães,5,0,146,3063,38,129.3,703.0,453.0,16,682,128.4,13,1,6,7.4,53,DEF,3,Arsenal
Konstantinos,Mavropanos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,3,Arsenal
Mattéo,Guendouzi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,3,Arsenal
Gabriel Teodoro,Martinelli Silva,6,7,110,1855,25,445.8,407.8,692.0,6,345,154.7,7,1,1,3.1,53,MID,3,Arsenal
William,Saliba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,3,Arsenal
Ben,White,0,0,107,2880,35,182.3,592.8,150.0,9,557,92.5,13,0,3,12.4,46,DEF,3,Arsenal
Nuno,Varela Tavares,1,1,49,1169,19,168.4,194.6,203.0,2,199,56.7,3,0,2,1.0,43,DEF,3,Arsenal
Albert,Sambi Lokonga,0,0,32,1129,11,250.7,181.8,87.0,0,173,51.9,7,0,5,0.1,48,MID,3,Arsenal
Folarin,Balogun,0,0,2,69,1,3.7,4.2,17.0,0,2,1.9,0,0,0,0.2,47,FWD,3,Arsenal
Reiss,Nelson,0,0,1,19,1,11.6,4.0,20.0,0,4,3.6,0,0,0,0.0,50,MID,3,Arsenal
Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,GK,3,Arsenal
Martin,Ødegaard,7,4,131,2782,39,1012.4,625.6,572.0,9,541,220.3,11,0,4,6.0,56,MID,3,Arsenal
Aaron,Ramsdale,0,0,135,3060,39,1.0,680.0,0.0,14,641,68.0,12,0,1,17.1,51,GK,3,Arsenal
Arthur,Okonkwo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,39,GK,3,Arsenal
Takehiro,Tomiyasu,0,1,75,1680,20,240.9,312.4,110.0,5,344,66.4,9,0,2,1.9,45,DEF,3,Arsenal
Charlie,Patino,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,3,Arsenal
Omari,Hutchinson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,3,Arsenal
Salah-Eddine,Oulad M'hand,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,3,Arsenal
Mika,Biereth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,FWD,3,Arsenal
Ryan,Alebiosu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,3,Arsenal
Zach,Awe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,3,Arsenal
Zak,Swanson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,3,Arsenal
Mazeed,Ogungbo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,3,Arsenal
Marcelo,Flores,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,3,Arsenal
Miguel,Azeez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,3,Arsenal
Alex,Kirk,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,3,Arsenal
Calum,Chambers,1,0,42,999,16,52.8,211.0,61.0,2,198,32.5,4,0,1,0.4,42,DEF,7,Aston Villa
Jed,Steer,0,0,1,90,3,0.0,8.2,0.0,0,13,0.8,0,0,0,1.7,39,GK,7,Aston Villa
Conor,Hourihane,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,7,Aston Villa
Emiliano,Martínez,0,0,129,3240,48,0.0,755.8,0.0,7,651,75.4,11,0,4,11.4,55,GK,7,Aston Villa
Björn,Engels,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,7,Aston Villa
Bertrand,Traoré,0,1,13,212,3,10.6,21.0,90.0,0,41,11.8,0,0,0,0.3,57,MID,7,Aston Villa
